user_id,bio,profile picture,URL,Verified_Status
0,hi im a bio,hi i'm a profile picture link!!!,https://nickdenardis.twitter.com/,1
1,hi im a bio,hi i'm a profile picture link!!!,https://katiekatiek.twitter.com/,0
2,hi im a bio,hi i'm a profile picture link!!!,https://1314179.twitter.com/,0
3,hi im a bio,hi i'm a profile picture link!!!,https://bryonywire.twitter.com/,0
4,hi im a bio,hi i'm a profile picture link!!!,https://guyberryman.twitter.com/,0
5,hi im a bio,hi i'm a profile picture link!!!,https://ViciousPotato.twitter.com/,0
6,hi im a bio,hi i'm a profile picture link!!!,https://onion2k.twitter.com/,0
7,hi im a bio,hi i'm a profile picture link!!!,https://songineverheard.twitter.com/,1
8,hi im a bio,hi i'm a profile picture link!!!,https://meghanlynx3.twitter.com/,0
9,hi im a bio,hi i'm a profile picture link!!!,https://jessicastrust.twitter.com/,0
10,hi im a bio,hi i'm a profile picture link!!!,https://beutflone.twitter.com/,1
11,hi im a bio,hi i'm a profile picture link!!!,https://techieteri.twitter.com/,1
12,hi im a bio,hi i'm a profile picture link!!!,https://Jesus86.twitter.com/,1
13,hi im a bio,hi i'm a profile picture link!!!,https://mslollybot.twitter.com/,0
14,hi im a bio,hi i'm a profile picture link!!!,https://sandermartijn.twitter.com/,0
15,hi im a bio,hi i'm a profile picture link!!!,https://KnowLoco.twitter.com/,1
16,hi im a bio,hi i'm a profile picture link!!!,https://BrownBella.twitter.com/,1
17,hi im a bio,hi i'm a profile picture link!!!,https://mayalabeille.twitter.com/,1
18,hi im a bio,hi i'm a profile picture link!!!,https://Tanithr.twitter.com/,1
19,hi im a bio,hi i'm a profile picture link!!!,https://workaholic1231.twitter.com/,0
20,hi im a bio,hi i'm a profile picture link!!!,https://goldieloxx.twitter.com/,1
21,hi im a bio,hi i'm a profile picture link!!!,https://19Sarah88.twitter.com/,0
22,hi im a bio,hi i'm a profile picture link!!!,https://trainsong_.twitter.com/,1
23,hi im a bio,hi i'm a profile picture link!!!,https://evgenia1501.twitter.com/,0
24,hi im a bio,hi i'm a profile picture link!!!,https://bordadoingles.twitter.com/,0
25,hi im a bio,hi i'm a profile picture link!!!,https://_Wren_.twitter.com/,0
26,hi im a bio,hi i'm a profile picture link!!!,https://xstaciex.twitter.com/,0
27,hi im a bio,hi i'm a profile picture link!!!,https://radilicious.twitter.com/,0
28,hi im a bio,hi i'm a profile picture link!!!,https://markbate.twitter.com/,1
29,hi im a bio,hi i'm a profile picture link!!!,https://LfcRobbo.twitter.com/,1
30,hi im a bio,hi i'm a profile picture link!!!,https://Neomic.twitter.com/,0
31,hi im a bio,hi i'm a profile picture link!!!,https://yesimaisya.twitter.com/,1
32,hi im a bio,hi i'm a profile picture link!!!,https://Kimpak.twitter.com/,0
33,hi im a bio,hi i'm a profile picture link!!!,https://SmilyLibrarian.twitter.com/,0
34,hi im a bio,hi i'm a profile picture link!!!,https://emmaXIII.twitter.com/,0
35,hi im a bio,hi i'm a profile picture link!!!,https://smileitsjordyn.twitter.com/,1
36,hi im a bio,hi i'm a profile picture link!!!,https://macehella.twitter.com/,1
37,hi im a bio,hi i'm a profile picture link!!!,https://ashleyROSE21.twitter.com/,0
38,hi im a bio,hi i'm a profile picture link!!!,https://jasminedoucet.twitter.com/,1
39,hi im a bio,hi i'm a profile picture link!!!,https://tankianann.twitter.com/,0
40,hi im a bio,hi i'm a profile picture link!!!,https://Britty88.twitter.com/,0
41,hi im a bio,hi i'm a profile picture link!!!,https://lvturner.twitter.com/,1
42,hi im a bio,hi i'm a profile picture link!!!,https://tjwislon.twitter.com/,0
43,hi im a bio,hi i'm a profile picture link!!!,https://xhardtoforget.twitter.com/,1
44,hi im a bio,hi i'm a profile picture link!!!,https://CathySavels.twitter.com/,1
45,hi im a bio,hi i'm a profile picture link!!!,https://Rog_Smashy.twitter.com/,0
46,hi im a bio,hi i'm a profile picture link!!!,https://moneva.twitter.com/,1
47,hi im a bio,hi i'm a profile picture link!!!,https://taralovesu.twitter.com/,0
48,hi im a bio,hi i'm a profile picture link!!!,https://cyxob.twitter.com/,1
49,hi im a bio,hi i'm a profile picture link!!!,https://underhill70.twitter.com/,1
50,hi im a bio,hi i'm a profile picture link!!!,https://kevatkinson.twitter.com/,0
51,hi im a bio,hi i'm a profile picture link!!!,https://onZofranom.twitter.com/,0
52,hi im a bio,hi i'm a profile picture link!!!,https://fetter1983.twitter.com/,0
53,hi im a bio,hi i'm a profile picture link!!!,https://qnzdiamond2k2.twitter.com/,0
54,hi im a bio,hi i'm a profile picture link!!!,https://La_H.twitter.com/,1
55,hi im a bio,hi i'm a profile picture link!!!,https://afokkema.twitter.com/,1
56,hi im a bio,hi i'm a profile picture link!!!,https://CathrynR.twitter.com/,1
57,hi im a bio,hi i'm a profile picture link!!!,https://Karissma.twitter.com/,0
58,hi im a bio,hi i'm a profile picture link!!!,https://CrazyMikesapps.twitter.com/,0
59,hi im a bio,hi i'm a profile picture link!!!,https://paperheartsneha.twitter.com/,1
60,hi im a bio,hi i'm a profile picture link!!!,https://AlexBermingham.twitter.com/,1
61,hi im a bio,hi i'm a profile picture link!!!,https://buttercuphll.twitter.com/,0
62,hi im a bio,hi i'm a profile picture link!!!,https://cravenjade.twitter.com/,1
63,hi im a bio,hi i'm a profile picture link!!!,https://sterling_silver.twitter.com/,0
64,hi im a bio,hi i'm a profile picture link!!!,https://Poppietarty.twitter.com/,0
65,hi im a bio,hi i'm a profile picture link!!!,https://sergiubiris.twitter.com/,0
66,hi im a bio,hi i'm a profile picture link!!!,https://annaOrange.twitter.com/,1
67,hi im a bio,hi i'm a profile picture link!!!,https://Angelique.twitter.com/,1
68,hi im a bio,hi i'm a profile picture link!!!,https://markhulsmeier.twitter.com/,1
69,hi im a bio,hi i'm a profile picture link!!!,https://AndrewWBurns.twitter.com/,0
70,hi im a bio,hi i'm a profile picture link!!!,https://watitdo.twitter.com/,1
71,hi im a bio,hi i'm a profile picture link!!!,https://neonaie.twitter.com/,1
72,hi im a bio,hi i'm a profile picture link!!!,https://Serpentinial.twitter.com/,0
73,hi im a bio,hi i'm a profile picture link!!!,https://HudsonKent.twitter.com/,1
74,hi im a bio,hi i'm a profile picture link!!!,https://nancetron.twitter.com/,0
75,hi im a bio,hi i'm a profile picture link!!!,https://hilaryjw.twitter.com/,1
76,hi im a bio,hi i'm a profile picture link!!!,https://alexa_chung.twitter.com/,1
77,hi im a bio,hi i'm a profile picture link!!!,https://taralovesu.twitter.com/,0
78,hi im a bio,hi i'm a profile picture link!!!,https://kdlove1974.twitter.com/,0
79,hi im a bio,hi i'm a profile picture link!!!,https://EmilyNatanya.twitter.com/,0
80,hi im a bio,hi i'm a profile picture link!!!,https://RossGoodman.twitter.com/,1
81,hi im a bio,hi i'm a profile picture link!!!,https://p__greer.twitter.com/,1
82,hi im a bio,hi i'm a profile picture link!!!,https://IrvTheSwirv.twitter.com/,1
83,hi im a bio,hi i'm a profile picture link!!!,https://lizzalina.twitter.com/,0
84,hi im a bio,hi i'm a profile picture link!!!,https://matt_heath.twitter.com/,1
85,hi im a bio,hi i'm a profile picture link!!!,https://charlieatkins1.twitter.com/,0
86,hi im a bio,hi i'm a profile picture link!!!,https://Fifi1976.twitter.com/,0
87,hi im a bio,hi i'm a profile picture link!!!,https://_DontTellMeLies.twitter.com/,1
88,hi im a bio,hi i'm a profile picture link!!!,https://nfarrow.twitter.com/,0
89,hi im a bio,hi i'm a profile picture link!!!,https://mizzcool123.twitter.com/,1
90,hi im a bio,hi i'm a profile picture link!!!,https://rob_caporetto.twitter.com/,0
91,hi im a bio,hi i'm a profile picture link!!!,https://boatsnhoesss.twitter.com/,0
92,hi im a bio,hi i'm a profile picture link!!!,https://goodwin88.twitter.com/,0
93,hi im a bio,hi i'm a profile picture link!!!,https://lisaseat.twitter.com/,0
94,hi im a bio,hi i'm a profile picture link!!!,https://rdeclair.twitter.com/,0
95,hi im a bio,hi i'm a profile picture link!!!,https://gabehabe.twitter.com/,1
96,hi im a bio,hi i'm a profile picture link!!!,https://tooptoop.twitter.com/,0
97,hi im a bio,hi i'm a profile picture link!!!,https://sweetL80.twitter.com/,1
98,hi im a bio,hi i'm a profile picture link!!!,https://rossc719.twitter.com/,1
99,hi im a bio,hi i'm a profile picture link!!!,https://LeezeArray.twitter.com/,0
100,hi im a bio,hi i'm a profile picture link!!!,https://TimMothE.twitter.com/,1
101,hi im a bio,hi i'm a profile picture link!!!,https://nicepaul.twitter.com/,1
102,hi im a bio,hi i'm a profile picture link!!!,https://melstar001.twitter.com/,1
103,hi im a bio,hi i'm a profile picture link!!!,https://Skavie.twitter.com/,0
104,hi im a bio,hi i'm a profile picture link!!!,https://tynie626.twitter.com/,0
105,hi im a bio,hi i'm a profile picture link!!!,https://kayteex394.twitter.com/,0
106,hi im a bio,hi i'm a profile picture link!!!,https://NicoleBlake22.twitter.com/,1
107,hi im a bio,hi i'm a profile picture link!!!,https://FenOswin.twitter.com/,1
108,hi im a bio,hi i'm a profile picture link!!!,https://TiffaniDanyelle.twitter.com/,1
109,hi im a bio,hi i'm a profile picture link!!!,https://CathaaayM.twitter.com/,1
110,hi im a bio,hi i'm a profile picture link!!!,https://inekeclewer.twitter.com/,0
111,hi im a bio,hi i'm a profile picture link!!!,https://ImaMonsta.twitter.com/,1
112,hi im a bio,hi i'm a profile picture link!!!,https://andreapalasi.twitter.com/,1
113,hi im a bio,hi i'm a profile picture link!!!,https://sleebee123.twitter.com/,1
114,hi im a bio,hi i'm a profile picture link!!!,https://JacquiOx.twitter.com/,1
115,hi im a bio,hi i'm a profile picture link!!!,https://porsalinh.twitter.com/,0
116,hi im a bio,hi i'm a profile picture link!!!,https://melstar001.twitter.com/,0
117,hi im a bio,hi i'm a profile picture link!!!,https://ABBAlove.twitter.com/,0
118,hi im a bio,hi i'm a profile picture link!!!,https://gelozamora.twitter.com/,0
119,hi im a bio,hi i'm a profile picture link!!!,https://adam_payne.twitter.com/,1
120,hi im a bio,hi i'm a profile picture link!!!,https://xXM1CH3113Xx.twitter.com/,0
121,hi im a bio,hi i'm a profile picture link!!!,https://DeadlyMary.twitter.com/,0
122,hi im a bio,hi i'm a profile picture link!!!,https://SupTabinator.twitter.com/,1
123,hi im a bio,hi i'm a profile picture link!!!,https://AmiraLoveJonas1.twitter.com/,0
124,hi im a bio,hi i'm a profile picture link!!!,https://_AlyssaMarie.twitter.com/,0
125,hi im a bio,hi i'm a profile picture link!!!,https://NINtrentreznor.twitter.com/,1
